BR ID,Business need,Acceptance criterion,Implementation,File / function,Test / evidence,Status,Gap / next action,Responsible role
BR-011,Account for resources consumed by failures,Supplied nonnegative latency/cost/token values also contribute on failed observations.,Resource scorers independent of successful response scoring,ltef/metrics.py:score,"tests/test_ltef.py:test_failed_calls_still_count_measured_resources, test_nonfinite_measurement_and_boolean_token_count_rejected",Implemented · verified,"No live billing, tokenizer or wall-clock capture in the web app.",Collection engineer
BR-012,Inspect multi-agent behavior with explicit evidence,Separate unauthorized attempts from executions; require complete traces for trace metrics; validate receipt ordering.,Seven agent metrics + strict trace event contract,ltef/metrics.py:score; ltef/schema.py:validate_trace,"tests/test_ltef.py:test_unauthorized_attempt_distinct_from_execution, test_incomplete_trace_is_missing_not_safe, test_no_handoffs_not_one_hundred_percent, test_unreceived_handoff_scores_zero, test_wrong_handoff_recipient_rejected, test_future_parent_and_duplicate_receive_rejected, test_propagation_needs_source_trace",Implemented · verified,"Task success and propagation labels supplied externally; completeness is asserted, not independently proven.",Orchestration engineer
BR-013,Expose missingness and case-weighted uncertainty,Retain all declared trial slots; report state counts/coverage; average trials within cases then equally weight cases.,Case-weighted summaries and deterministic case bootstrap,ltef/statistics.py:summarize; ltef/engine.py:evaluate,"tests/test_ltef.py:test_case_weighting_does_not_overweight_repeated_trials, test_all_failed_system_remains_in_report, test_demo_has_known_outcomes_and_missingness",Implemented · verified,"Minimum 20 is a fixture reporting setting, not a power analysis; study dependence needs consideration.",Statistician / study lead
BR-014,Compare equivalent observations,Pair baseline/candidate by case and trial within the same report; report unpaired observations and direction.,Paired comparison and bootstrap of case-mean deltas,ltef/engine.py:compare; ltef/web/app.js:comparePage,"tests/test_ltef.py:test_comparison_pairs_trial_ids_before_averaging, test_comparison_direction_and_pairs; scripts/check_webapp.py",Implemented · verified,"No causal superiority claim, multiple-testing correction or cross-report comparison.",Study lead
BR-015,Inspect variation across populations,Group and pair outputs remain interpretable; missing/small group evidence does not imply fairness.,Named subgroup summaries and exact controlled-pair agreement,ltef/engine.py:evaluate; ltef/schema.py:validate_cases,"tests/test_ltef.py:test_unlabeled_groups_and_small_groups_not_fairness_pass, test_invalid_counterfactual_pair_rejected",Partial,Exact output agreement is not demographic fairness or semantic invariance.,Dataset / fairness reviewer
BR-016,Retain reproducible derived results,"Saved/exported reports contain definitions, profile, state counts, limitations and input/code fingerprints.","Structured JSON report, Markdown export, SQLite persistence","ltef/engine.py:evaluate, code_digest; ltef/reporting.py:render; ltef/webapp.py:Workspace.save","tests/test_webapp.py:test_seeds_three_sectors_and_persists_without_reseeding, test_upload_runs_actual_engine_and_omits_raw_content; scripts/check_webapp.py",Implemented · verified,Source inputs and full runtime environment must be retained separately.,Researcher
BR-017,Sign in with local accounts,First concurrent registration creates exactly one Admin; later accounts default Viewer; password policy is enforced.,Salted PBKDF2 account store and atomic registration,"ltef/auth.py:Accounts.register, Accounts.login","tests/test_auth.py:test_concurrent_first_registration_creates_exactly_one_admin, test_password_policy_and_duplicate_account_do_not_change_users, test_wrong_password_and_unknown_account_use_same_response",Implemented · verified,"No email verification, recovery, SSO or restricted invitations.",Workspace administrator
BR-018,Enforce role access on the server,Viewer receives six metric values; run/compare/export require Researcher; role changes apply to active sessions.,Permission guards and deep report filtering,"ltef/auth.py:permissions, filter_report; ltef/webapp.py:Handler.require_user","tests/test_auth.py:test_viewer_values_are_filtered_and_restricted_actions_fail, test_role_changes_apply_to_existing_sessions_and_preserve_last_admin; tests/test_requirements.py:test_permissions_guard_readiness_and_template_downloads; scripts/check_webapp.py",Implemented · verified,Product roles are not credentials for domain adjudication.,Workspace administrator
BR-019,Keep evaluations private to their creator,New reports are private even from other Admins; only original seed examples are shared.,Ownership predicates and explicit shared_sample flag,"ltef/webapp.py:Workspace.get, Workspace.listing, Workspace.save","tests/test_auth.py:test_private_runs_are_inaccessible_even_to_other_admin, test_only_original_seeds_shared_and_legacy_runs_assigned_first_admin",Implemented · verified,Operating-system access can bypass application-level ownership.,Workspace administrator
BR-020,Bound and revoke local sessions,"Login rotates session, logout revokes, expiry survives restart; host/origin/CSRF checks reject invalid requests.","Cookie session, token hashes, current-role lookup, request checks","ltef/auth.py:Accounts; ltef/webapp.py:Handler.trusted, Handler.do_POST","tests/test_auth.py:test_initial_owner_login_rotates_session_and_logout_revokes, test_passwords_salted_and_sessions_survive_restart_until_expiry, test_csrf_origin_and_host_enforced, test_login_attempts_are_bounded",Implemented · verified,HTTP loopback deployment only; no production identity/security certification.,Security reviewer
BR-021,Bound expensive requests,Reject excessive input bytes/case expansion and serialize evaluations/preflight with a shared lock.,Request cap and upload limits before scoring,ltef/requirements.py:load_upload; ltef/webapp.py:Handler.do_POST,tests/test_webapp.py:test_expansion_limit_applies_before_evaluation; tests/test_requirements.py:test_errors_limits_csrf_and_download_contract,Implemented · verified,"No job queue, benchmarked throughput target or cancellation API.",Application engineer
BR-022,Minimize saved sensitive content,"Exclude raw responses, canary text, trace bodies and reviewer evidence from derived reports.",Derived-report construction; raw inputs remain outside SQLite,ltef/engine.py:evaluate; ltef/webapp.py:Workspace.save,tests/test_ltef.py:test_reports_do_not_include_raw_secret_or_output; tests/test_webapp.py:test_upload_runs_actual_engine_and_omits_raw_content,Partial,Metadata may still contain sensitive strings; no automatic redaction/retention/deletion workflow.,Data steward
BR-023,Navigate and provide evidence simply,"Desktop and 390px mobile flows support auth, metric discovery, three intake steps, errors and results without page overflow.",Responsive native frontend with keyboard/dialog handling,ltef/web/app.js; ltef/web/data.js; ltef/web/style.css,"scripts/check_webapp.py; scripts/check_data_workflow.py; runs/web/data-{choose,requirements,mobile,check,check-mobile}.png",Implemented · verified,Formal accessibility audit and broader device/user testing remain open.,Product designer
BR-024,Trace BRD requirements to evidence,"Every requirement identifies an observable criterion, code, verification status and limitation.","28-row matrix, verification record and technical design",docs/design/evidence-matrix.csv; docs/design/verification-record.md; docs/design/technical-design.md,Named-test existence check and generated HTML matrix row count; source review,Implemented · documentation reviewed,Maintain on every material change; software evidence does not demonstrate societal impact.,Technical lead
BR-025,Review and edit architecture diagrams,Provide five native draw.io pages with shapes/connectors and matching SVG previews.,"Architecture, data readiness, sequence, logical model and evidence traceability",scripts/build_design_diagrams.py; docs/design/LTEF-technical-design.drawio,XML structure/reference validation; SVG/HTML visual review recorded in verification-record.md,Implemented · artifact verified,MCP configuration, initialization and tool discovery verified. Restart Codex to load the connector; diagram tool execution is not claimed.,Technical lead
BR-026,Capture live model observations,A provider adapter records responses/errors and resources without leaking reference labels into the request.,Callback collection boundary exists; production adapter not implemented,ltef/collection.py:collect,"tests/test_ltef.py:test_collector_hides_reference_and_retains_sanitized_failures, test_no_synthetic_labels_from_adapter",Partial,"Implement provider-specific capture, billing basis, model version capture and retry protocol.",Collection engineer
BR-027,Substantiate real sector and multi-agent performance,"Frozen representative cases, validated rubric, reviewer agreement, justified sampling and reproducible real captures support claimed findings.",Research protocol and proposed 36-month plan,docs/measurement-protocol.md; docs/research-traceability.md; docs/roadmap-36-months.md,No completed real-provider multi-sector validation study is claimed,Planned,Collect independent evidence; validate new agent metrics and comparisons.,Research lead
BR-028,Operate as a production hosted service,"Authenticated public deployment meets agreed identity, isolation, recovery, observability and availability criteria.",Local deployment boundary explicitly documented,"docs/design/technical-design.md: architecture, security and backlog","No production certification, load test or recovery evidence is claimed",Planned,"Define production SLOs, HTTPS, identity/recovery, isolation, audit, backups, retention and operations.",Platform lead
